metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run17
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;46,480
rset_95s;38,180
rset_90s;33,020
rset_50s;15,740
mean_speed_ms;0,4043
std_speed_ms;0,3085
max_speed_ms;2,2001
mean_exit_density_pm2;4,2861
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5427
specific_flow_mean_pms;2,1667
specific_flow_peak_pms;6,6324
throughput_ps;2,0009
throughput_ExitZone_ps;2,0009
collisions_agent_agent;2499
collisions_agent_wall;5864
mean_headway_m;0,4212
min_headway_m;0,3235
std_headway_m;0,0798
