metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run9
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;184,640
rset_95s;166,220
rset_90s;154,360
rset_50s;90,020
mean_speed_ms;1,1120
std_speed_ms;0,3028
max_speed_ms;2,1365
mean_exit_density_pm2;0,1750
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0798
specific_flow_mean_pms;0,2108
specific_flow_peak_pms;0,5525
throughput_ps;3,2875
throughput_Exit_West_ps;1,5165
throughput_Exit_South_ps;1,7710
collisions_agent_agent;24
collisions_agent_wall;43
mean_headway_m;0,5629
min_headway_m;0,3488
std_headway_m;0,1281
