metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_24
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;46,680
rset_95s;37,820
rset_90s;32,620
rset_50s;15,940
mean_speed_ms;0,4035
std_speed_ms;0,3106
max_speed_ms;2,1622
mean_exit_density_pm2;4,1189
peak_exit_density_pm2;8,9127
mean_global_density_pm2;0,5386
specific_flow_mean_pms;2,1959
specific_flow_peak_pms;7,2782
throughput_ps;1,9923
throughput_ExitZone_ps;1,9923
collisions_agent_agent;1895
collisions_agent_wall;6148
mean_headway_m;0,4224
min_headway_m;0,3150
std_headway_m;0,0754
