time;density;specific_flow
25,620;3,8197;2,0548
25,720;5,0930;2,7098
25,840;7,6394;3,1911
25,940;7,6394;3,1673
26,040;7,6394;3,2781
26,160;6,3662;2,0832
26,260;6,3662;2,4664
26,360;6,3662;2,4775
26,460;6,3662;2,7934
26,580;3,8197;0,5613
26,680;5,0930;1,4143
26,780;5,0930;2,1608
26,900;5,0930;1,6158
27,000;5,0930;1,9093
27,100;6,3662;3,1840
27,200;5,0930;2,2911
27,320;5,0930;2,4501
27,420;5,0930;2,9019
27,520;5,0930;2,6154
27,640;3,8197;1,6939
27,740;3,8197;2,2111
27,840;3,8197;2,0705
27,940;2,5465;1,0053
28,060;5,0930;2,8779
28,160;5,0930;3,0647
28,260;5,0930;3,3661
28,380;3,8197;2,8098
28,480;5,0930;3,2479
28,580;3,8197;1,8791
28,680;3,8197;1,9418
28,800;3,8197;2,5921
28,900;3,8197;3,3538
29,000;2,5465;2,1844
29,120;2,5465;2,3243
29,220;2,5465;1,8767
29,320;1,2732;0,4063
29,440;2,5465;1,9438
29,540;1,2732;1,4593
29,640;2,5465;2,2411
29,740;3,8197;2,9689
29,860;3,8197;2,2529
29,960;3,8197;1,6485
30,060;6,3662;2,6690
30,180;6,3662;2,5228
30,280;7,6394;3,3892
30,380;7,6394;4,0631
30,480;7,6394;4,1381
30,600;6,3662;2,1896
30,700;6,3662;2,6508
30,800;6,3662;2,0333
30,920;5,0930;1,4915
31,020;5,0930;2,1320
31,120;5,0930;1,1893
31,220;5,0930;1,4332
31,340;5,0930;2,1760
31,440;3,8197;1,3308
31,540;3,8197;2,1193
31,660;3,8197;2,3401
31,760;3,8197;1,8013
31,860;3,8197;2,1410
31,960;2,5465;1,8356
32,060;2,5465;2,2308
32,180;2,5465;1,9711
32,300;5,0930;3,9048
32,400;5,0930;4,5738
32,520;3,8197;2,2645
32,640;3,8197;1,6826
32,740;3,8197;1,7837
32,860;3,8197;2,1005
32,980;3,8197;1,8547
33,100;3,8197;2,1820
33,200;5,0930;3,3114
33,320;5,0930;4,1396
33,440;3,8197;2,7495
33,540;3,8197;3,3246
33,660;3,8197;2,2219
33,780;2,5465;1,4640
33,880;3,8197;2,1933
34,000;2,5465;1,7784
34,120;2,5465;2,2347
34,220;1,2732;1,5049
34,340;1,2732;1,5044
34,460;1,2732;1,5049
34,580;1,2732;0,6498
34,680;1,2732;0,6217
34,800;1,2732;0,8405
34,920;1,2732;1,1148
35,020;1,2732;1,3457
35,140;1,2732;1,5729
35,260;0,0000;0,0000
35,360;0,0000;0,0000
35,480;0,0000;0,0000
35,600;0,0000;0,0000
35,720;1,2732;1,5007
35,820;1,2732;1,5006
35,940;1,2732;1,5006
36,060;1,2732;1,5005
36,160;1,2732;1,4999
