metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run12
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;181,820
rset_95s;162,680
rset_90s;152,380
rset_50s;88,360
mean_speed_ms;1,1358
std_speed_ms;0,4325
max_speed_ms;2,5735
mean_exit_density_pm2;0,1359
peak_exit_density_pm2;0,4377
mean_global_density_pm2;0,0600
specific_flow_mean_pms;0,1469
specific_flow_peak_pms;0,4103
throughput_ps;3,3385
throughput_Exit_South_ps;1,8095
throughput_Exit_West_ps;1,5290
collisions_agent_agent;2205
collisions_agent_wall;97
mean_headway_m;0,6069
min_headway_m;0,3330
std_headway_m;0,2112
