metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run12
total_agents;68
evacuated_agents;67
evacuation_rate;0,9853
rset_100s;34,820
rset_95s;32,500
rset_90s;31,160
rset_50s;20,860
mean_speed_ms;1,2309
std_speed_ms;0,6101
max_speed_ms;3,3909
mean_exit_density_pm2;0,0344
peak_exit_density_pm2;0,5659
mean_global_density_pm2;0,0114
specific_flow_mean_pms;0,0521
specific_flow_peak_pms;0,9509
throughput_ps;1,9529
throughput_Exit_Main_ps;1,9242
collisions_agent_agent;190
collisions_agent_wall;4186
mean_headway_m;0,9970
min_headway_m;0,3420
std_headway_m;1,0398
