metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run6
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;180,280
rset_95s;163,900
rset_90s;152,220
rset_50s;87,920
mean_speed_ms;1,1587
std_speed_ms;0,4033
max_speed_ms;2,2562
mean_exit_density_pm2;0,1376
peak_exit_density_pm2;0,3979
mean_global_density_pm2;0,0594
specific_flow_mean_pms;0,1493
specific_flow_peak_pms;0,4872
throughput_ps;3,3670
throughput_Exit_West_ps;1,5531
throughput_Exit_South_ps;1,8138
collisions_agent_agent;2025
collisions_agent_wall;55
mean_headway_m;0,6243
min_headway_m;0,3326
std_headway_m;0,2231
