metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_cal_17
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;188,82
rset_95s;168,02
rset_90s;157,68
rset_50s;94,08
mean_speed_ms;1,0396
std_speed_ms;0,2962
max_speed_ms;1,9975
mean_exit_density_pm2;0,2308
peak_exit_density_pm2;0,557
mean_global_density_pm2;0,0708
specific_flow_mean_pms;0,2212
specific_flow_peak_pms;0,5304
throughput_ps;3,2147
throughput_Exit_South_ps;1,6894
throughput_Exit_West_ps;1,5253
collisions_agent_agent;51
collisions_agent_wall;1177
mean_headway_m;0,6777
min_headway_m;0,4007
std_headway_m;0,1507
