metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_12
total_agents;606
rset_100s;148,11
rset_95s;133,41
rset_90s;123,4
rset_50s;66,64
mean_speed_ms;0,936
std_speed_ms;0,4744
max_speed_ms;2,3397
mean_exit_density_pm2;0,2906
peak_exit_density_pm2;0,756
mean_global_density_pm2;0,6941
specific_flow_mean_pms;0,2948
specific_flow_peak_pms;0,8063
throughput_ps;4,0916
throughput_Exit_South_ps;2,0998
throughput_Exit_West_ps;1,9918
collisions_agent_agent;1125
collisions_agent_wall;8287
mean_headway_m;0,6495
min_headway_m;0,3308
std_headway_m;0,2189
