metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run11
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;44,360
rset_95s;31,580
rset_90s;30,060
rset_50s;18,720
mean_speed_ms;1,4041
std_speed_ms;0,4053
max_speed_ms;2,5110
mean_exit_density_pm2;0,1539
peak_exit_density_pm2;0,5659
mean_global_density_pm2;0,0444
specific_flow_mean_pms;0,2407
specific_flow_peak_pms;1,0365
throughput_ps;1,5329
throughput_Exit_Main_ps;1,5329
collisions_agent_agent;92
collisions_agent_wall;152
mean_headway_m;1,0295
min_headway_m;0,3379
std_headway_m;0,7345
