metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_10
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;54,800
rset_95s;44,560
rset_90s;36,960
rset_50s;19,900
mean_speed_ms;0,3895
std_speed_ms;0,3051
max_speed_ms;1,9335
mean_exit_density_pm2;4,2946
peak_exit_density_pm2;8,9127
mean_global_density_pm2;0,5559
specific_flow_mean_pms;1,9770
specific_flow_peak_pms;6,8514
throughput_ps;1,6971
throughput_ExitZone_ps;1,6971
collisions_agent_agent;12637
collisions_agent_wall;14816
mean_headway_m;0,4012
min_headway_m;0,2758
std_headway_m;0,0871
