metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_08
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;50,780
rset_95s;42,100
rset_90s;36,960
rset_50s;20,640
mean_speed_ms;0,3933
std_speed_ms;0,2988
max_speed_ms;2,0100
mean_exit_density_pm2;4,3228
peak_exit_density_pm2;8,9127
mean_global_density_pm2;0,5595
specific_flow_mean_pms;2,0998
specific_flow_peak_pms;7,4436
throughput_ps;1,8314
throughput_ExitZone_ps;1,8314
collisions_agent_agent;6751
collisions_agent_wall;13109
mean_headway_m;0,4139
min_headway_m;0,3100
std_headway_m;0,0777
