metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run11
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;50,100
rset_95s;41,860
rset_90s;36,880
rset_50s;17,680
mean_speed_ms;0,3797
std_speed_ms;0,2991
max_speed_ms;2,1464
mean_exit_density_pm2;4,3096
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5611
specific_flow_mean_pms;2,1021
specific_flow_peak_pms;7,8445
throughput_ps;1,8563
throughput_ExitZone_ps;1,8563
collisions_agent_agent;3025
collisions_agent_wall;7423
mean_headway_m;0,4256
min_headway_m;0,3117
std_headway_m;0,0759
