metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_04
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;58,140
rset_95s;47,620
rset_90s;37,800
rset_50s;18,880
mean_speed_ms;0,4204
std_speed_ms;0,3376
max_speed_ms;2,1118
mean_exit_density_pm2;3,8566
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,4949
specific_flow_mean_pms;1,9144
specific_flow_peak_pms;6,7822
throughput_ps;1,5996
throughput_ExitZone_ps;1,5996
collisions_agent_agent;5481
collisions_agent_wall;9947
mean_headway_m;0,4251
min_headway_m;0,2877
std_headway_m;0,0882
