metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run18
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;178,340
rset_95s;162,680
rset_90s;152,400
rset_50s;88,520
mean_speed_ms;1,1439
std_speed_ms;0,4276
max_speed_ms;2,5728
mean_exit_density_pm2;0,1375
peak_exit_density_pm2;0,3581
mean_global_density_pm2;0,0617
specific_flow_mean_pms;0,1507
specific_flow_peak_pms;0,4192
throughput_ps;3,4036
throughput_Exit_West_ps;1,5644
throughput_Exit_South_ps;1,8392
collisions_agent_agent;1774
collisions_agent_wall;31
mean_headway_m;0,6106
min_headway_m;0,3188
std_headway_m;0,1956
