metric;SFM_mean;SFM_sd;RL_mean;RL_sd;RL_to_SFM_ratio
collisions_agent_agent;33,15;9,3768;1980,45;239,4673;59,7421
collisions_agent_wall;32,2;7,8713;73,8;39,3749;2,2919
