metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_20
total_agents;606
rset_100s;147,82
rset_95s;134,71
rset_90s;123,12
rset_50s;68,51
mean_speed_ms;0,8732
std_speed_ms;0,4592
max_speed_ms;2,2325
mean_exit_density_pm2;0,344
peak_exit_density_pm2;0,8356
mean_global_density_pm2;0,7585
specific_flow_mean_pms;0,2678
specific_flow_peak_pms;0,7053
throughput_ps;4,0996
throughput_Exit_South_ps;2,0498
throughput_Exit_West_ps;2,0498
collisions_agent_agent;324
collisions_agent_wall;1886
mean_headway_m;0,6556
min_headway_m;0,3185
std_headway_m;0,2108
