time;density;specific_flow
25,620;3,8197;2,2491
25,720;3,8197;2,2874
25,840;3,8197;1,8695
25,940;5,0930;2,7717
26,040;3,8197;0,9563
26,160;3,8197;1,3629
26,260;3,8197;1,4322
26,360;3,8197;2,2759
26,460;3,8197;2,4580
26,580;3,8197;1,2674
26,680;2,5465;0,9838
26,780;2,5465;0,9560
26,900;2,5465;1,1330
27,000;3,8197;1,8395
27,100;3,8197;2,0952
27,200;2,5465;0,5389
27,320;2,5465;0,7346
27,420;3,8197;1,8425
27,520;3,8197;1,6265
27,640;5,0930;1,6688
27,740;5,0930;1,8662
27,840;5,0930;2,0495
27,940;3,8197;0,8235
28,060;3,8197;0,9415
28,160;3,8197;0,8394
28,260;3,8197;1,2244
28,380;2,5465;1,1867
28,480;3,8197;2,5802
28,580;3,8197;2,8935
28,680;2,5465;1,0889
28,800;3,8197;1,7447
28,900;3,8197;2,0904
29,000;3,8197;2,3941
29,120;3,8197;2,1885
29,220;3,8197;2,4125
29,320;3,8197;1,3501
29,440;3,8197;2,2051
29,540;5,0930;3,0662
29,640;3,8197;1,0921
29,740;3,8197;1,1498
29,860;3,8197;1,0875
29,960;3,8197;1,1858
30,060;3,8197;1,1174
30,180;3,8197;0,9572
30,280;3,8197;1,3428
30,380;3,8197;1,6206
30,480;3,8197;1,5496
30,600;2,5465;0,2477
30,700;2,5465;0,4353
30,800;2,5465;0,6481
30,920;2,5465;0,7133
31,020;2,5465;0,5902
31,120;3,8197;0,7963
31,220;2,5465;0,4928
31,340;2,5465;0,3905
31,440;2,5465;0,5271
31,540;2,5465;0,5585
31,660;3,8197;0,9103
31,760;3,8197;0,9682
31,860;5,0930;1,6383
31,960;5,0930;1,8450
32,060;3,8197;0,8188
32,180;3,8197;1,1605
32,300;5,0930;2,1411
32,400;5,0930;2,1393
32,520;5,0930;1,8930
32,640;3,8197;0,6688
32,740;3,8197;0,3371
32,860;3,8197;0,4833
32,980;3,8197;0,6077
33,100;3,8197;0,5045
33,200;3,8197;0,5483
33,320;2,5465;0,4112
33,440;3,8197;1,0092
33,540;3,8197;1,2104
33,660;3,8197;1,4019
33,780;3,8197;1,2884
33,880;3,8197;1,0843
34,000;2,5465;0,2818
34,120;2,5465;1,0529
