metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run6
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;47,620
rset_95s;39,960
rset_90s;33,960
rset_50s;14,640
mean_speed_ms;0,3908
std_speed_ms;0,3072
max_speed_ms;2,2232
mean_exit_density_pm2;4,2481
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5275
specific_flow_mean_pms;2,0881
specific_flow_peak_pms;7,2586
throughput_ps;1,9530
throughput_ExitZone_ps;1,9530
collisions_agent_agent;1786
collisions_agent_wall;5454
mean_headway_m;0,4236
min_headway_m;0,3073
std_headway_m;0,0737
