metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run16
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;37,960
rset_95s;35,460
rset_90s;33,300
rset_50s;17,860
mean_speed_ms;0,3305
std_speed_ms;0,2912
max_speed_ms;1,8580
mean_exit_density_pm2;4,1343
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5318
specific_flow_mean_pms;2,0068
specific_flow_peak_pms;4,3930
throughput_ps;2,4499
throughput_ExitZone_ps;2,4499
collisions_agent_agent;13450
collisions_agent_wall;1262
mean_headway_m;0,3990
min_headway_m;0,3199
std_headway_m;0,0641
