metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run8
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;179,500
rset_95s;162,540
rset_90s;152,400
rset_50s;88,320
mean_speed_ms;1,1193
std_speed_ms;0,4202
max_speed_ms;2,5606
mean_exit_density_pm2;0,1352
peak_exit_density_pm2;0,3581
mean_global_density_pm2;0,0620
specific_flow_mean_pms;0,1420
specific_flow_peak_pms;0,4266
throughput_ps;3,3816
throughput_Exit_West_ps;1,5599
throughput_Exit_South_ps;1,8217
collisions_agent_agent;1810
collisions_agent_wall;110
mean_headway_m;0,6041
min_headway_m;0,3073
std_headway_m;0,1925
