distribution;n_SFM;n_RL;n_Ghost;SFM_mean;SFM_sd;RL_mean;RL_sd;SFMvsRL_KS_D;SFMvsRL_KS_p;SFMvsRL_W1;SFMvsGhost_KS_D;SFMvsGhost_KS_p;RLvsGhost_KS_D;RLvsGhost_KS_p
headway_dist;30018;25122;1793;0,4253;0,0815;0,3941;0,0618;0,2982;0,0000;0,0313;0,7201;0,0000;0,6688;0,0000
agent_speed;70188;58586;4184;0,3910;0,3078;0,3087;0,2866;0,1467;0,0000;0,0823;0,1232;0,0000;0,1566;0,0000
