metric;SFM_mean;SFM_sd;RL_mean;RL_sd;RL_to_SFM_ratio
collisions_agent_agent;2459,35;372,0756;14207,75;2447,0594;5,777
collisions_agent_wall;5587,4;635,2652;1282,1;322,6753;0,2295
