metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run19
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;43,520
rset_95s;39,700
rset_90s;37,420
rset_50s;18,720
mean_speed_ms;0,2945
std_speed_ms;0,2803
max_speed_ms;2,0295
mean_exit_density_pm2;3,9539
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5427
specific_flow_mean_pms;1,7264
specific_flow_peak_pms;5,3495
throughput_ps;2,1369
throughput_ExitZone_ps;2,1369
collisions_agent_agent;15219
collisions_agent_wall;1791
mean_headway_m;0,3984
min_headway_m;0,3136
std_headway_m;0,0663
