metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run20
total_agents;68
evacuated_agents;57
evacuation_rate;0,8382
rset_100s;57,900
rset_95s;43,400
rset_90s;40,000
rset_50s;23,600
mean_speed_ms;0,4365
std_speed_ms;0,5786
max_speed_ms;2,2637
mean_exit_density_pm2;0,1870
peak_exit_density_pm2;0,8488
mean_global_density_pm2;0,0276
specific_flow_mean_pms;0,0502
specific_flow_peak_pms;0,6887
throughput_ps;1,1744
throughput_Exit_Main_ps;0,9845
collisions_agent_agent;4
collisions_agent_wall;141
mean_headway_m;2,3412
min_headway_m;0,3947
std_headway_m;2,4369
