metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_18
total_agents;93
rset_100s;60,630
rset_95s;50,990
rset_90s;47,890
rset_50s;27,450
mean_speed_ms;0,1592
std_speed_ms;0,2367
max_speed_ms;1,8177
mean_exit_density_pm2;5,0017
peak_exit_density_pm2;8,9127
mean_global_density_pm2;2,3618
specific_flow_mean_pms;1,4841
specific_flow_peak_pms;4,6899
throughput_ps;1,5339
throughput_ExitZone_ps;1,5339
collisions_agent_agent;160573
collisions_agent_wall;62299
mean_headway_m;0,3848
min_headway_m;0,2952
std_headway_m;0,0618
