metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run1
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;185,020
rset_95s;164,880
rset_90s;152,980
rset_50s;90,760
mean_speed_ms;1,1492
std_speed_ms;0,3018
max_speed_ms;2,1884
mean_exit_density_pm2;0,1762
peak_exit_density_pm2;0,5570
mean_global_density_pm2;0,0768
specific_flow_mean_pms;0,2193
specific_flow_peak_pms;0,6176
throughput_ps;3,2807
throughput_Exit_West_ps;1,5079
throughput_Exit_South_ps;1,7728
collisions_agent_agent;28
collisions_agent_wall;37
mean_headway_m;0,5846
min_headway_m;0,3516
std_headway_m;0,1867
