metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run_5
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;41,560
rset_95s;38,960
rset_90s;36,260
rset_50s;18,980
mean_speed_ms;0,2939
std_speed_ms;0,2819
max_speed_ms;1,9294
mean_exit_density_pm2;4,2852
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5715
specific_flow_mean_pms;1,8254
specific_flow_peak_pms;4,8775
throughput_ps;2,2377
throughput_ExitZone_ps;2,2377
collisions_agent_agent;12289
collisions_agent_wall;1343
mean_headway_m;0,3952
min_headway_m;0,3248
std_headway_m;0,0549
