metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run4
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;187,260
rset_95s;166,320
rset_90s;154,380
rset_50s;90,260
mean_speed_ms;1,1459
std_speed_ms;0,3136
max_speed_ms;2,3439
mean_exit_density_pm2;0,1718
peak_exit_density_pm2;0,4377
mean_global_density_pm2;0,0787
specific_flow_mean_pms;0,2131
specific_flow_peak_pms;0,6362
throughput_ps;3,2415
throughput_Exit_West_ps;1,4899
throughput_Exit_South_ps;1,7516
collisions_agent_agent;42
collisions_agent_wall;28
mean_headway_m;0,5765
min_headway_m;0,3430
std_headway_m;0,1420
