metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run14
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;180,640
rset_95s;163,500
rset_90s;152,480
rset_50s;88,280
mean_speed_ms;1,1453
std_speed_ms;0,4093
max_speed_ms;2,3584
mean_exit_density_pm2;0,1348
peak_exit_density_pm2;0,3581
mean_global_density_pm2;0,0585
specific_flow_mean_pms;0,1423
specific_flow_peak_pms;0,4188
throughput_ps;3,3603
throughput_Exit_West_ps;1,5445
throughput_Exit_South_ps;1,8158
collisions_agent_agent;1638
collisions_agent_wall;70
mean_headway_m;0,6156
min_headway_m;0,3266
std_headway_m;0,1972
