metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run9
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;182,920
rset_95s;162,060
rset_90s;151,900
rset_50s;89,540
mean_speed_ms;1,0998
std_speed_ms;0,4198
max_speed_ms;2,5739
mean_exit_density_pm2;0,1340
peak_exit_density_pm2;0,4377
mean_global_density_pm2;0,0610
specific_flow_mean_pms;0,1402
specific_flow_peak_pms;0,5189
throughput_ps;3,3184
throughput_Exit_West_ps;1,5253
throughput_Exit_South_ps;1,7931
collisions_agent_agent;2130
collisions_agent_wall;88
mean_headway_m;0,5995
min_headway_m;0,3199
std_headway_m;0,1947
