metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run20
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;182,540
rset_95s;162,620
rset_90s;152,360
rset_50s;88,160
mean_speed_ms;1,1119
std_speed_ms;0,4183
max_speed_ms;2,3427
mean_exit_density_pm2;0,1345
peak_exit_density_pm2;0,3581
mean_global_density_pm2;0,0629
specific_flow_mean_pms;0,1418
specific_flow_peak_pms;0,3918
throughput_ps;3,3253
throughput_Exit_West_ps;1,5284
throughput_Exit_South_ps;1,7969
collisions_agent_agent;2093
collisions_agent_wall;25
mean_headway_m;0,6027
min_headway_m;0,3158
std_headway_m;0,2147
