metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run12
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;48,480
rset_95s;39,160
rset_90s;32,780
rset_50s;16,940
mean_speed_ms;0,3948
std_speed_ms;0,3115
max_speed_ms;2,1267
mean_exit_density_pm2;4,1285
peak_exit_density_pm2;8,9127
mean_global_density_pm2;0,5381
specific_flow_mean_pms;2,1004
specific_flow_peak_pms;7,9796
throughput_ps;1,9183
throughput_ExitZone_ps;1,9183
collisions_agent_agent;3120
collisions_agent_wall;5623
mean_headway_m;0,4216
min_headway_m;0,2953
std_headway_m;0,0836
