agentId;time;posX;posZ;speed
26;0,1200;-0,0868;0,3263;0,2524
29;0,1200;0,3018;0,1825;0,2633
31;0,1200;-0,3828;0,1045;0,1612
33;0,1200;0,0615;-0,1366;0,1389
34;0,1200;0,5044;-0,1617;0,1591
36;0,1200;-0,3390;-0,4181;0,1040
21;0,2400;0,7315;0,3450;0,8324
26;0,2400;-0,1224;0,2629;0,6059
29;0,2400;0,3396;0,0725;0,9694
31;0,2400;-0,4379;0,0035;0,9589
33;0,2400;0,0343;-0,2095;0,6484
34;0,2400;0,5446;-0,2801;1,0414
36;0,2400;-0,3363;-0,4866;0,5713
21;0,3600;0,6665;0,1930;1,3782
26;0,3600;-0,1313;0,1514;0,9324
20;0,3600;-0,4916;0,3889;0,5021
29;0,3600;0,3616;-0,0407;0,9610
31;0,3600;-0,5197;-0,1627;1,5437
33;0,3600;0,0025;-0,3362;1,0886
34;0,3600;0,6213;-0,4898;1,8610
36;0,3600;-0,3478;-0,6244;1,1519
22;0,3600;0,2088;0,3575;0,2349
21;0,4800;0,6619;0,0584;1,1216
26;0,4800;-0,1455;-0,0276;1,4965
20;0,4800;-0,4770;0,2606;1,0765
29;0,4800;0,3407;-0,2131;1,4472
31;0,4800;-0,5693;-0,3554;1,6581
33;0,4800;-0,0100;-0,4997;1,3662
34;0,4800;0,6784;-0,7035;1,8436
36;0,4800;-0,3767;-0,8251;1,6902
22;0,4800;0,1688;0,2007;1,3483
21;0,6000;0,6811;-0,0686;1,0710
26;0,6000;-0,1862;-0,2565;1,9376
20;0,6000;-0,4849;0,0985;1,3521
29;0,6000;0,3288;-0,4141;1,6784
31;0,6000;-0,5883;-0,5693;1,7894
33;0,6000;-0,0203;-0,6923;1,6076
34;0,6000;0,7137;-0,8868;1,5556
36;0,6000;-0,3977;-0,9486;1,0436
22;0,6000;0,1548;0,0289;1,4363
15;0,6000;-0,2216;0,3944;0,6874
21;0,7200;0,6883;-0,2083;1,1652
26;0,7200;-0,2224;-0,4657;1,7691
20;0,7200;-0,4920;-0,0683;1,3917
29;0,7200;0,3525;-0,5994;1,5564
31;0,7200;-0,6495;-0,6379;0,7661
33;0,7200;0,0099;-0,8817;1,5980
34;0,7200;0,7244;-0,8443;0,3654
36;0,7200;-0,4055;-0,9403;0,0950
22;0,7200;0,1453;-0,1603;1,5787
14;0,7200;0,3704;0,2706;0,7827
15;0,7200;-0,2271;0,2582;1,1366
21;0,8400;0,6845;-0,3453;1,1423
26;0,8400;-0,2047;-0,6046;1,1669
20;0,8400;-0,4755;-0,2343;1,3900
29;0,8400;0,3411;-0,7346;1,1308
31;0,8400;-0,7175;-0,7181;0,8762
33;0,8400;0,0631;-1,0666;1,6038
36;0,8400;-0,3996;-0,9435;0,0561
22;0,8400;0,1383;-0,3540;1,6156
14;0,8400;0,3421;0,1342;1,1612
15;0,8400;-0,2231;0,1085;1,2477
21;0,9600;0,6596;-0,4349;0,7747
26;0,9600;-0,1387;-0,6418;0,6318
20;0,9600;-0,4696;-0,3987;1,3706
29;0,9600;0,3194;-0,8704;1,1462
36;0,9600;-0,3897;-0,9113;0,2799
22;0,9600;0,1763;-0,4903;1,1788
7;0,9600;0,0051;0,3909;0,8520
14;0,9600;0,3185;-0,0032;1,1613
15;0,9600;-0,2168;-0,0523;1,3409
21;1,0800;0,6416;-0,5127;0,6656
26;1,0800;-0,0505;-0,6283;0,7434
20;1,0800;-0,5231;-0,5318;1,1955
29;1,0800;0,3093;-0,9414;0,5972
36;1,0800;-0,3550;-0,9205;0,2992
22;1,0800;0,3323;-0,4921;1,2998
17;1,0800;-0,7422;-0,0494;0,7511
7;1,0800;-0,0104;0,2528;1,1574
8;1,0800;-0,5302;0,3971;0,7560
10;1,0800;0,7472;-0,0039;0,9181
14;1,0800;0,2937;-0,1276;1,0571
15;1,0800;-0,2120;-0,2120;1,3318
26;1,1800;0,0150;-0,6629;0,7405
20;1,1800;-0,5526;-0,5863;0,6190
29;1,1800;0,3030;-0,8916;0,5019
31;1,1800;-0,7240;-0,9324;0,6307
36;1,1800;-0,2877;-0,9146;0,6751
22;1,1800;0,4056;-0,5524;0,9493
17;1,1800;-0,6850;-0,1144;0,8665
4;1,1800;0,4498;0,3550;0,8301
7;1,1800;-0,0269;0,1414;1,1267
8;1,1800;-0,5227;0,3164;0,8113
10;1,1800;0,7298;-0,1301;1,2736
14;1,1800;0,2654;-0,1853;0,6433
15;1,1800;-0,2193;-0,3223;1,1044
26;1,3000;0,0792;-0,6756;0,5454
20;1,3000;-0,5182;-0,5915;0,2894
29;1,3000;0,3590;-0,9576;0,7210
31;1,3000;-0,6988;-0,9080;0,2923
36;1,3000;-0,1983;-0,9660;0,8599
22;1,3000;0,4604;-0,6338;0,8177
17;1,3000;-0,6393;-0,1988;0,7996
4;1,3000;0,4376;0,2095;1,2175
7;1,3000;-0,0675;0,0343;0,9542
8;1,3000;-0,5136;0,2421;0,6231
10;1,3000;0,7137;-0,2275;0,8223
14;1,3000;0,2526;-0,2560;0,5982
15;1,3000;-0,2214;-0,3917;0,5790
26;1,4200;0,0881;-0,7020;0,2324
20;1,4200;-0,4532;-0,6390;0,6713
29;1,4200;0,3840;-0,9494;0,2195
31;1,4200;-0,6823;-0,9313;0,2377
36;1,4200;-0,0946;-1,0968;1,3906
22;1,4200;0,4968;-0,6257;0,3104
17;1,4200;-0,6277;-0,2377;0,3386
4;1,4200;0,4221;0,0858;1,0389
7;1,4200;-0,1047;-0,0240;0,5759
8;1,4200;-0,5129;0,1841;0,4839
10;1,4200;0,6785;-0,1996;0,3741
14;1,4200;0,2662;-0,3126;0,4851
15;1,4200;-0,1472;-0,4042;0,6267
26;1,5200;0,0352;-0,8191;1,2853
20;1,5200;-0,3693;-0,7073;1,0820
29;1,5200;0,4161;-0,9256;0,3997
31;1,5200;-0,6706;-0,9231;0,1430
22;1,5200;0,5167;-0,6108;0,2480
17;1,5200;-0,6205;-0,2761;0,3904
1;1,5200;-0,0120;0,3414;0,7748
4;1,5200;0,3726;0,0656;0,5345
7;1,5200;-0,1081;-0,0286;0,0576
8;1,5200;-0,5203;0,1377;0,4698
10;1,5200;0,6394;-0,2045;0,3938
14;1,5200;0,2500;-0,3469;0,3797
15;1,5200;-0,1374;-0,4276;0,2539
26;1,6400;-0,0028;-1,0585;2,0196
20;1,6400;-0,3195;-0,8172;1,0054
29;1,6400;0,4461;-0,9298;0,2527
31;1,6400;-0,6699;-0,9199;0,0268
22;1,6400;0,5477;-0,6124;0,2586
17;1,6400;-0,5618;-0,3355;0,6954
1;1,6400;0,0192;0,3092;0,3741
4;1,6400;0,3032;0,1006;0,6474
7;1,6400;-0,1109;-0,0752;0,3893
8;1,6400;-0,5337;0,0733;0,5485
10;1,6400;0,6068;-0,1699;0,3965
14;1,6400;0,2181;-0,4082;0,5754
15;1,6400;-0,1730;-0,4895;0,5956
20;1,7400;-0,2678;-0,9428;1,3578
29;1,7400;0,4034;-0,9259;0,4293
31;1,7400;-0,6645;-0,9192;0,0544
22;1,7400;0,5773;-0,6143;0,2970
17;1,7400;-0,5108;-0,4012;0,8325
1;1,7400;-0,0038;0,3339;0,3373
4;1,7400;0,2923;0,0973;0,1142
7;1,7400;-0,1102;-0,1349;0,5971
8;1,7400;-0,5455;0,0287;0,4613
10;1,7400;0,5923;-0,1465;0,2753
14;1,7400;0,2205;-0,4685;0,6036
15;1,7400;-0,1698;-0,5983;1,0879
20;1,8600;-0,1740;-1,0481;1,1754
29;1,8600;0,3066;-0,9193;0,8085
31;1,8600;-0,6068;-0,9088;0,4889
22;1,8600;0,5869;-0,6454;0,2708
17;1,8600;-0,4762;-0,4816;0,7291
1;1,8600;-0,0814;0,3241;0,6522
4;1,8600;0,2703;0,0712;0,2846
7;1,8600;-0,0967;-0,2146;0,6738
8;1,8600;-0,5542;-0,0313;0,5045
10;1,8600;0,6051;-0,1696;0,2202
14;1,8600;0,2394;-0,5131;0,4041
15;1,8600;-0,0938;-0,7043;1,0869
29;1,9600;0,2305;-0,9472;0,8105
31;1,9600;-0,5391;-0,9133;0,6780
22;1,9600;0,5605;-0,7095;0,6936
17;1,9600;-0,4325;-0,5344;0,6857
1;1,9600;-0,1432;0,2356;1,0788
4;1,9600;0,2372;0,0097;0,6984
7;1,9600;-0,0940;-0,2760;0,6137
8;1,9600;-0,5551;-0,0825;0,5124
10;1,9600;0,6075;-0,1965;0,2700
14;1,9600;0,2745;-0,4804;0,4801
15;1,9600;-0,0721;-0,7628;0,6243
0;2,0800;-0,6573;0,3728;0,5793
29;2,0800;0,1800;-1,0465;0,9290
31;2,0800;-0,5182;-0,9231;0,1925
22;2,0800;0,5022;-0,8363;1,1630
17;2,0800;-0,4185;-0,5525;0,1905
1;2,0800;-0,1972;0,0935;1,2668
4;2,0800;0,1958;-0,0820;0,8387
7;2,0800;-0,1103;-0,3407;0,5567
8;2,0800;-0,5524;-0,1319;0,4122
10;2,0800;0,6199;-0,1966;0,1037
14;2,0800;0,3004;-0,4823;0,2160
15;2,0800;-0,1243;-0,8591;0,9121
41;2,0800;0,4084;0,3128;1,0707
0;2,2000;-0,6436;0,3013;0,6072
31;2,2000;-0,5669;-0,9354;0,4190
22;2,2000;0,4397;-0,9714;1,2401
17;2,2000;-0,4306;-0,5877;0,3104
1;2,2000;-0,2119;-0,0009;0,7966
4;2,2000;0,1837;-0,1281;0,3975
7;2,2000;-0,0833;-0,4295;0,7731
8;2,2000;-0,5637;-0,1675;0,3115
10;2,2000;0,6343;-0,1702;0,2505
14;2,2000;0,3349;-0,5948;0,9813
15;2,2000;-0,1232;-0,9633;0,8689
41;2,2000;0,4453;0,2315;0,7445
0;2,3200;-0,6316;0,2287;0,6130
31;2,3200;-0,5779;-0,9192;0,1626
22;2,3200;0,4492;-0,9600;0,1235
17;2,3200;-0,4005;-0,5804;0,2583
1;2,3200;-0,1816;-0,0546;0,5137
4;2,3200;0,2003;-0,1783;0,4400
7;2,3200;0,0001;-0,5572;1,2708
8;2,3200;-0,5630;-0,2130;0,3791
10;2,3200;0,6319;-0,1843;0,1192
14;2,3200;0,3787;-0,6224;0,4311
41;2,3200;0,4551;0,1908;0,3487
0;2,4400;-0,6182;0,1852;0,3795
31;2,4400;-0,5691;-0,9111;0,1001
22;2,4400;0,4464;-0,9426;0,1468
17;2,4400;-0,3264;-0,5803;0,6173
1;2,4400;-0,1465;-0,1135;0,5711
4;2,4400;0,2039;-0,2555;0,6443
7;2,4400;0,0533;-0,7438;1,6166
8;2,4400;-0,5559;-0,2359;0,2000
10;2,4400;0,6268;-0,2015;0,1494
14;2,4400;0,4530;-0,5911;0,6716
41;2,4400;0,3953;0,1521;0,5935
42;2,4400;-0,0825;0,3149;0,8448
48;2,4400;0,7037;0,3951;1,3508
0;2,5600;-0,5973;0,1753;0,1925
31;2,5600;-0,5306;-0,9185;0,3270
22;2,5600;0,4426;-0,9551;0,1090
17;2,5600;-0,2215;-0,6182;0,9296
1;2,5600;-0,1376;-0,1839;0,5914
4;2,5600;0,1687;-0,3617;0,9323
7;2,5600;0,0668;-0,9986;2,1267
8;2,5600;-0,5231;-0,2697;0,3925
10;2,5600;0,6111;-0,1796;0,2246
14;2,5600;0,4344;-0,5999;0,1714
41;2,5600;0,2679;0,0855;1,1976
42;2,5600;-0,0847;0,2309;0,7001
48;2,5600;0,7206;0,2876;0,9070
0;2,6600;-0,5780;0,1577;0,2613
28;2,6600;-0,7275;-0,6387;0,3740
31;2,6600;-0,4756;-0,9253;0,5534
22;2,6600;0,4484;-0,9699;0,1586
17;2,6600;-0,1294;-0,6872;1,1509
1;2,6600;-0,1454;-0,2275;0,4424
4;2,6600;0,1312;-0,4365;0,8368
8;2,6600;-0,4977;-0,3059;0,4423
