metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run10
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;51,180
rset_95s;37,260
rset_90s;32,760
rset_50s;15,160
mean_speed_ms;0,3855
std_speed_ms;0,3187
max_speed_ms;2,0536
mean_exit_density_pm2;3,8951
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5135
specific_flow_mean_pms;1,9538
specific_flow_peak_pms;6,6971
throughput_ps;1,8171
throughput_ExitZone_ps;1,8171
collisions_agent_agent;2284
collisions_agent_wall;5619
mean_headway_m;0,4325
min_headway_m;0,3163
std_headway_m;0,0891
