metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run6
total_agents;68
evacuated_agents;67
evacuation_rate;0,9853
rset_100s;50,840
rset_95s;33,880
rset_90s;29,020
rset_50s;18,560
mean_speed_ms;1,2649
std_speed_ms;0,5474
max_speed_ms;3,8511
mean_exit_density_pm2;0,0339
peak_exit_density_pm2;0,7074
mean_global_density_pm2;0,0113
specific_flow_mean_pms;0,0531
specific_flow_peak_pms;1,1870
throughput_ps;1,3375
throughput_Exit_Main_ps;1,3179
collisions_agent_agent;429
collisions_agent_wall;542
mean_headway_m;1,7751
min_headway_m;0,3345
std_headway_m;4,3169
