metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_16
total_agents;606
rset_100s;147,39
rset_95s;133,08
rset_90s;121,7
rset_50s;66,65
mean_speed_ms;0,945
std_speed_ms;0,4636
max_speed_ms;2,2355
mean_exit_density_pm2;0,2931
peak_exit_density_pm2;0,6764
mean_global_density_pm2;0,6822
specific_flow_mean_pms;0,2773
specific_flow_peak_pms;0,7177
throughput_ps;4,1115
throughput_Exit_South_ps;2,1643
throughput_Exit_West_ps;1,9472
collisions_agent_agent;279
collisions_agent_wall;9962
mean_headway_m;0,7309
min_headway_m;0,3381
std_headway_m;0,2163
