metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_19
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;67,380
rset_95s;53,820
rset_90s;45,400
rset_50s;21,800
mean_speed_ms;0,3786
std_speed_ms;0,2909
max_speed_ms;1,8278
mean_exit_density_pm2;3,8282
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,4781
specific_flow_mean_pms;1,7686
specific_flow_peak_pms;7,7276
throughput_ps;1,3802
throughput_ExitZone_ps;1,3802
collisions_agent_agent;1897
collisions_agent_wall;3676
mean_headway_m;0,4477
min_headway_m;0,3186
std_headway_m;0,0946
