metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run9
total_agents;68
evacuated_agents;66
evacuation_rate;0,9706
rset_100s;47,040
rset_95s;34,040
rset_90s;29,940
rset_50s;23,400
mean_speed_ms;1,1169
std_speed_ms;0,5965
max_speed_ms;2,5671
mean_exit_density_pm2;0,0493
peak_exit_density_pm2;1,1318
mean_global_density_pm2;0,0135
specific_flow_mean_pms;0,0513
specific_flow_peak_pms;1,0512
throughput_ps;1,4456
throughput_Exit_Main_ps;1,4031
collisions_agent_agent;1619
collisions_agent_wall;1726
mean_headway_m;3,7812
min_headway_m;0,3261
std_headway_m;5,6362
