metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_22
total_agents;606
rset_100s;147,75
rset_95s;133,2
rset_90s;121,83
rset_50s;67,16
mean_speed_ms;0,877
std_speed_ms;0,4395
max_speed_ms;2,2802
mean_exit_density_pm2;0,3313
peak_exit_density_pm2;0,7958
mean_global_density_pm2;0,7365
specific_flow_mean_pms;0,233
specific_flow_peak_pms;0,7595
throughput_ps;4,1015
throughput_Exit_West_ps;2,247
throughput_Exit_South_ps;1,8545
collisions_agent_agent;30
collisions_agent_wall;261
mean_headway_m;0,6861
min_headway_m;0,352
std_headway_m;0,1973
