agentId;time;posX;posZ;speed;localDensity
91;0,4800;-0,8437;0,8545;0,9157;2,5465
90;0,4800;-0,2286;0,5409;1,1381;2,5465
89;0,4800;-1,5396;1,4384;0,6512;2,5465
88;0,4800;-0,3727;-0,6206;0,8056;2,5465
84;0,4800;1,6376;-0,8045;0,9351;2,5465
82;0,4800;-1,4248;0,1539;1,0130;2,5465
81;0,4800;-2,6023;-0,5727;0,8947;2,5465
80;0,4800;0,3866;0,7292;0,6749;2,5465
78;0,4800;0,8275;-0,7009;0,8908;2,5465
75;0,4800;0,2244;-0,5008;0,7780;2,5465
74;0,4800;-0,9239;1,3297;1,0601;2,5465
71;0,4800;-0,8804;0,3295;0,7957;2,5465
60;0,4800;0,7468;-0,1130;0,8587;2,5465
54;0,4800;-1,7562;-0,3252;0,8919;2,5465
53;0,4800;1,8160;0,5010;0,4392;2,5465
52;0,4800;-2,2448;-0,0505;1,0877;2,5465
48;0,4800;-2,5061;0,5834;0,6371;2,5465
47;0,4800;-1,4013;0,7935;0,6035;2,5465
41;0,4800;2,0913;1,1838;0,7199;2,5465
40;0,4800;1,8252;-0,2110;0,6736;2,5465
36;0,4800;2,2654;0,6240;0,9641;2,5465
34;0,4800;-1,1828;-0,2828;0,7792;2,5465
31;0,4800;1,3065;-0,2617;0,2720;2,5465
30;0,4800;1,4156;0,9482;0,7505;2,5465
28;0,4800;1,0275;0,4479;0,7793;2,5465
26;0,4800;-0,3308;1,5477;0,8317;2,5465
23;0,4800;2,3337;-0,3201;0,9860;2,5465
22;0,4800;-0,5444;-0,0779;0,9843;2,5465
19;0,4800;-1,8747;0,5584;0,9478;2,5465
17;0,4800;0,3524;1,4817;0,7817;2,5465
16;0,4800;0,0948;0,0983;1,0938;2,5465
14;0,4800;-0,3628;1,0459;0,8963;2,5465
10;0,4800;1,6365;1,5220;0,6946;2,5465
9;0,4800;-2,5012;1,3368;0,9780;2,5465
8;0,4800;0,7984;1,0968;0,8894;2,5465
93;0,6000;-2,7898;0,0618;0,4618;2,5465
91;0,6000;-0,8078;0,7254;1,1166;2,5465
90;0,6000;-0,2426;0,3833;1,3182;2,5465
89;0,6000;-1,5396;1,3459;0,7713;2,5465
88;0,6000;-0,3682;-0,7329;0,9363;2,5465
84;0,6000;1,6087;-0,9029;0,8551;2,5465
82;0,6000;-1,4132;0,0227;1,0973;2,5465
81;0,6000;-2,5432;-0,6797;1,0183;2,5465
80;0,6000;0,3982;0,6327;0,8101;2,5465
78;0,6000;0,7946;-0,8070;0,9250;2,5465
75;0,6000;0,2212;-0,6104;0,9134;2,5465
74;0,6000;-0,8910;1,1933;1,1698;2,5465
71;0,6000;-0,8519;0,2200;0,9425;2,5465
66;0,6000;1,0836;1,6741;0,5072;2,5465
60;0,6000;0,7173;-0,2279;0,9884;2,5465
54;0,6000;-1,7240;-0,4491;1,0668;2,5465
53;0,6000;1,7728;0,4485;0,5663;2,5465
52;0,6000;-2,1742;-0,1703;1,1590;2,5465
48;0,6000;-2,4365;0,5104;0,8407;2,5465
47;0,6000;-1,3883;0,7070;0,7283;2,5465
41;0,6000;2,0403;1,0921;0,8743;2,5465
40;0,6000;1,7789;-0,2888;0,7549;2,5465
36;0,6000;2,2329;0,5062;1,0179;2,5465
34;0,6000;-1,1419;-0,3862;0,9262;2,5465
31;0,6000;1,2882;-0,3069;0,4069;2,5465
30;0,6000;1,3914;0,8480;0,8587;2,5465
28;0,6000;1,0087;0,3407;0,9076;2,5465
26;0,6000;-0,3283;1,4294;0,9853;2,5465
23;0,6000;2,2932;-0,4456;1,0992;2,5465
22;0,6000;-0,5137;-0,2056;1,0939;2,5465
19;0,6000;-1,8589;0,4274;1,0992;2,5465
17;0,6000;0,3459;1,3728;0,9092;2,5465
16;0,6000;0,1027;-0,0437;1,1847;2,5465
14;0,6000;-0,3506;0,9247;1,0147;2,5465
10;0,6000;1,6091;1,4274;0,8201;2,5465
9;0,6000;-2,4658;1,2155;1,0529;2,5465
8;0,6000;0,7933;0,9770;0,9995;2,5465
7;0,6000;2,3632;1,6437;0,6213;2,5465
4;0,6000;-1,0957;1,6718;0,8067;2,5465
93;0,7200;-2,7418;-0,0289;0,8550;2,5465
91;0,7200;-0,7783;0,5736;1,2890;2,5465
90;0,7200;-0,2500;0,2112;1,4359;2,5465
89;0,7200;-1,5377;1,2399;0,8836;2,5465
88;0,7200;-0,3628;-0,8514;0,9891;2,5465
86;0,7200;0,5869;1,6975;0,9299;2,5465
84;0,7200;1,5733;-0,9420;0,4391;2,5465
82;0,7200;-1,3960;-0,1142;1,1495;2,5465
81;0,7200;-2,4784;-0,7926;1,0843;2,5465
80;0,7200;0,3981;0,5195;0,9426;2,5465
78;0,7200;0,7664;-0,8996;0,8068;2,5465
76;0,7200;-2,7654;0,6517;0,8431;2,5465
75;0,7200;0,2158;-0,7333;1,0249;2,5465
74;0,7200;-0,8602;1,0477;1,2397;2,5465
71;0,7200;-0,8255;0,0930;1,0806;2,5465
66;0,7200;1,0781;1,5663;0,9000;2,5465
60;0,7200;0,6863;-0,3541;1,0831;2,5465
54;0,7200;-1,6828;-0,5907;1,2285;2,5465
53;0,7200;1,7225;0,3895;0,6465;2,5465
52;0,7200;-2,1072;-0,2966;1,1912;2,5465
48;0,7200;-2,3559;0,4172;1,0267;2,5465
47;0,7200;-1,3704;0,6083;0,8358;2,5465
41;0,7200;1,9900;0,9823;1,0063;2,5465
40;0,7200;1,7368;-0,3754;0,8019;2,5465
36;0,7200;2,2049;0,3812;1,0673;2,5465
34;0,7200;-1,0957;-0,5029;1,0463;2,5465
31;0,7200;1,2604;-0,3642;0,5306;2,5465
30;0,7200;1,3625;0,7399;0,9330;2,5465
28;0,7200;0,9880;0,2212;1,0105;2,5465
26;0,7200;-0,3241;1,2970;1,1045;2,5465
23;0,7200;2,2492;-0,5805;1,1819;2,5465
22;0,7200;-0,4849;-0,3421;1,1629;2,5465
19;0,7200;-1,8352;0,2830;1,2193;2,5465
17;0,7200;0,3366;1,2506;1,0218;2,5465
16;0,7200;0,1109;-0,1918;1,2362;2,5465
14;0,7200;-0,3282;0,7917;1,1238;2,5465
10;0,7200;1,5762;1,3213;0,9257;2,5465
9;0,7200;-2,4239;1,0915;1,0911;2,5465
8;0,7200;0,7892;0,8488;1,0685;2,5465
7;0,7200;2,3204;1,5271;1,0354;2,5465
4;0,7200;-1,0811;1,5189;1,2794;2,5465
93;0,8400;-2,6892;-0,1281;0,9362;3,8197
91;0,8400;-0,7543;0,4069;1,4038;3,8197
90;0,8400;-0,2511;0,0312;1,5000;3,8197
89;0,8400;-1,5333;1,1203;0,9971;3,8197
88;0,8400;-0,3568;-0,9446;0,7783;3,8197
87;0,8400;0,0122;1,6790;0,6011;3,8197
86;0,8400;0,5697;1,5354;1,3578;3,8197
84;0,8400;1,5323;-0,9032;0,4706;3,8197
82;0,8400;-1,3733;-0,2553;1,1913;3,8197
81;0,8400;-2,4094;-0,8940;1,0224;3,8197
80;0,8400;0,3872;0,3924;1,0632;3,8197
78;0,8400;0,7440;-0,9391;0,3789;3,8197
77;0,8400;-1,7974;1,5628;0,8903;3,8197
76;0,8400;-2,7086;0,5313;1,1093;3,8197
75;0,8400;0,2054;-0,8634;1,0878;3,8197
74;0,8400;-0,8317;0,8941;1,3018;3,8197
71;0,8400;-0,8030;-0,0514;1,2183;3,8197
66;0,8400;1,0736;1,4492;0,9765;3,8197
61;0,8400;1,7908;1,6674;0,7588;3,8197
60;0,8400;0,6555;-0,4867;1,1343;3,8197
56;0,8400;-2,3569;1,6114;0,5836;3,8197
54;0,8400;-1,6333;-0,7463;1,3604;3,8197
53;0,8400;1,6766;0,3261;0,6521;3,8197
52;0,8400;-2,0450;-0,4274;1,2063;3,8197
48;0,8400;-2,2696;0,3087;1,1557;3,8197
47;0,8400;-1,3493;0,4992;0,9261;3,8197
41;0,8400;1,9413;0,8579;1,1132;3,8197
40;0,8400;1,7022;-0,4670;0,8160;3,8197
36;0,8400;2,1772;0,2491;1,1253;3,8197
34;0,8400;-1,0459;-0,6294;1,1329;3,8197
31;0,8400;1,2235;-0,4306;0,6325;3,8197
30;0,8400;1,3274;0,6283;0,9751;3,8197
28;0,8400;0,9657;0,0924;1,0891;3,8197
26;0,8400;-0,3178;1,1538;1,1939;3,8197
23;0,8400;2,2017;-0,7206;1,2331;3,8197
22;0,8400;-0,4591;-0,4840;1,2015;3,8197
19;0,8400;-1,8012;0,1283;1,3199;3,8197
17;0,8400;0,3238;1,1156;1,1294;3,8197
16;0,8400;0,1190;-0,3427;1,2591;3,8197
14;0,8400;-0,2972;0,6478;1,2270;3,8197
10;0,8400;1,5392;1,2057;1,0115;3,8197
9;0,8400;-2,3761;0,9674;1,1082;3,8197
8;0,8400;0,7856;0,7155;1,1112;3,8197
7;0,8400;2,2765;1,4020;1,1049;3,8197
4;0,8400;-1,0603;1,3596;1,3395;3,8197
93;0,9600;-2,6329;-0,2343;1,0016;5,0930
91;0,9600;-0,7333;0,2336;1,4540;5,0930
90;0,9600;-0,2459;-0,1510;1,5190;5,0930
89;0,9600;-1,5244;0,9859;1,1227;5,0930
88;0,9600;-0,3509;-0,9317;0,1182;5,0930
87;0,9600;0,0023;1,5535;1,0494;5,0930
86;0,9600;0,5514;1,3706;1,3820;5,0930
84;0,9600;1,4813;-0,8579;0,5686;5,0930
82;0,9600;-1,3452;-0,4009;1,2356;5,0930
81;0,9600;-2,3379;-0,9416;0,7155;5,0930
80;0,9600;0,3678;0,2545;1,1610;5,0930
78;0,9600;0,7333;-0,9209;0,1760;5,0930
77;0,9600;-1,7530;1,4107;1,3205;5,0930
76;0,9600;-2,6567;0,4024;1,1579;5,0930
75;0,9600;0,1762;-0,9860;1,0506;5,0930
74;0,9600;-0,8049;0,7320;1,3693;5,0930
71;0,9600;-0,7855;-0,2128;1,3532;5,0930
66;0,9600;1,0677;1,3251;1,0348;5,0930
62;0,9600;-0,6557;1,6850;0,8713;5,0930
61;0,9600;1,7510;1,5527;1,0119;5,0930
60;0,9600;0,6233;-0,6083;1,0480;5,0930
56;0,9600;-2,3071;1,4781;1,1861;5,0930
54;0,9600;-1,5774;-0,9008;1,3698;5,0930
53;0,9600;1,6427;0,2557;0,6515;5,0930
52;0,9600;-1,9864;-0,5614;1,2194;5,0930
48;0,9600;-2,1837;0,1911;1,2138;5,0930
47;0,9600;-1,3262;0,3813;1,0011;5,0930
41;0,9600;1,8947;0,7231;1,1889;5,0930
40;0,9600;1,6799;-0,5491;0,7087;5,0930
36;0,9600;2,1456;0,1107;1,1828;5,0930
34;0,9600;-0,9948;-0,7606;1,1733;5,0930
31;0,9600;1,1796;-0,5018;0,6973;5,0930
30;0,9600;1,2837;0,5172;0,9949;5,0930
28;0,9600;0,9413;-0,0420;1,1388;5,0930
26;0,9600;-0,3097;1,0028;1,2607;5,0930
23;0,9600;2,1505;-0,8564;1,2096;5,0930
22;0,9600;-0,4392;-0,6201;1,1466;5,0930
19;0,9600;-1,7553;-0,0346;1,4108;5,0930
17;0,9600;0,3068;0,9684;1,2355;5,0930
16;0,9600;0,1266;-0,4932;1,2564;5,0930
14;0,9600;-0,2607;0,4938;1,3189;5,0930
10;0,9600;1,5013;1,0820;1,0783;5,0930
9;0,9600;-2,3237;0,8440;1,1174;5,0930
8;0,9600;0,7799;0,5786;1,1420;5,0930
7;0,9600;2,2315;1,2701;1,1615;5,0930
4;0,9600;-1,0344;1,1960;1,3802;5,0930
93;1,0800;-2,5736;-0,3460;1,0540;5,0930
91;1,0800;-0,7132;0,0591;1,4642;5,0930
90;1,0800;-0,2342;-0,3277;1,4755;5,0930
89;1,0800;-1,5091;0,8354;1,2606;5,0930
88;1,0800;-0,3411;-0,9635;0,2771;5,0930
87;1,0800;-0,0048;1,4165;1,1430;5,0930
86;1,0800;0,5334;1,2042;1,3951;5,0930
84;1,0800;1,4087;-0,8709;0,6143;5,0930
83;1,0800;2,2206;1,6860;0,8167;5,0930
82;1,0800;-1,3110;-0,5505;1,2785;5,0930
81;1,0800;-2,2701;-0,9106;0,6211;5,0930
80;1,0800;0,3434;0,1086;1,2324;5,0930
78;1,0800;0,7594;-0,9298;0,2298;5,0930
77;1,0800;-1,7106;1,2614;1,2931;5,0930
76;1,0800;-2,6062;0,2663;1,2098;5,0930
74;1,0800;-0,7793;0,5614;1,4376;5,0930
71;1,0800;-0,7746;-0,3864;1,4489;5,0930
67;1,0800;2,3868;0,6011;0,8405;5,0930
66;1,0800;1,0580;1,1958;1,0808;5,0930
62;1,0800;-0,6408;1,5347;1,2590;5,0930
61;1,0800;1,7096;1,4355;1,0355;5,0930
60;1,0800;0,5680;-0,6649;0,6600;5,0930
56;1,0800;-2,2507;1,3301;1,3196;5,0930
54;1,0800;-1,5430;-0,9448;0,4652;5,0930
53;1,0800;1,6219;0,1802;0,6521;5,0930
52;1,0800;-1,9262;-0,6944;1,2165;5,0930
48;1,0800;-2,1019;0,0691;1,2234;5,0930
47;1,0800;-1,3021;0,2559;1,0649;5,0930
