metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_05
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;57,280
rset_95s;44,560
rset_90s;39,760
rset_50s;21,940
mean_speed_ms;0,4674
std_speed_ms;0,3525
max_speed_ms;2,0908
mean_exit_density_pm2;3,9945
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5365
specific_flow_mean_pms;2,0921
specific_flow_peak_pms;7,5501
throughput_ps;1,6236
throughput_ExitZone_ps;1,6236
collisions_agent_agent;10056
collisions_agent_wall;13709
mean_headway_m;0,4093
min_headway_m;0,2983
std_headway_m;0,0929
