metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_14
total_agents;606
rset_100s;155,87
rset_95s;134,1
rset_90s;122,01
rset_50s;65,94
mean_speed_ms;0,9463
std_speed_ms;0,4828
max_speed_ms;2,2591
mean_exit_density_pm2;0,2719
peak_exit_density_pm2;0,7162
mean_global_density_pm2;0,6455
specific_flow_mean_pms;0,2557
specific_flow_peak_pms;0,6628
throughput_ps;3,8879
throughput_Exit_South_ps;2,0594
throughput_Exit_West_ps;1,8284
collisions_agent_agent;443
collisions_agent_wall;9026
mean_headway_m;0,7007
min_headway_m;0,3192
std_headway_m;0,254
