metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run19
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;52,100
rset_95s;41,700
rset_90s;35,180
rset_50s;16,520
mean_speed_ms;0,3798
std_speed_ms;0,3116
max_speed_ms;2,0105
mean_exit_density_pm2;4,0114
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5190
specific_flow_mean_pms;1,9279
specific_flow_peak_pms;8,1650
throughput_ps;1,7850
throughput_ExitZone_ps;1,7850
collisions_agent_agent;2691
collisions_agent_wall;5550
mean_headway_m;0,4315
min_headway_m;0,3073
std_headway_m;0,0827
