metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run17
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;43,080
rset_95s;38,620
rset_90s;36,240
rset_50s;21,600
mean_speed_ms;0,2736
std_speed_ms;0,2726
max_speed_ms;2,1031
mean_exit_density_pm2;4,2133
peak_exit_density_pm2;8,9127
mean_global_density_pm2;0,5934
specific_flow_mean_pms;1,7466
specific_flow_peak_pms;4,7406
throughput_ps;2,1588
throughput_ExitZone_ps;2,1588
collisions_agent_agent;19722
collisions_agent_wall;1659
mean_headway_m;0,3852
min_headway_m;0,3060
std_headway_m;0,0666
