metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run11
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;184,020
rset_95s;166,040
rset_90s;155,180
rset_50s;91,080
mean_speed_ms;1,1172
std_speed_ms;0,3016
max_speed_ms;2,1436
mean_exit_density_pm2;0,1767
peak_exit_density_pm2;0,4377
mean_global_density_pm2;0,0810
specific_flow_mean_pms;0,2138
specific_flow_peak_pms;0,5456
throughput_ps;3,2986
throughput_Exit_West_ps;1,5161
throughput_Exit_South_ps;1,7824
collisions_agent_agent;33
collisions_agent_wall;33
mean_headway_m;0,5641
min_headway_m;0,3612
std_headway_m;0,1205
