metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_17
total_agents;606
rset_100s;145,53
rset_95s;135,4
rset_90s;121,77
rset_50s;68,49
mean_speed_ms;0,9056
std_speed_ms;0,4791
max_speed_ms;2,3805
mean_exit_density_pm2;0,3064
peak_exit_density_pm2;0,7162
mean_global_density_pm2;0,724
specific_flow_mean_pms;0,2689
specific_flow_peak_pms;0,7419
throughput_ps;4,1641
throughput_Exit_South_ps;2,1027
throughput_Exit_West_ps;2,0614
collisions_agent_agent;348
collisions_agent_wall;16814
mean_headway_m;0,7127
min_headway_m;0,3344
std_headway_m;0,2251
