metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run16
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;181,740
rset_95s;164,880
rset_90s;154,480
rset_50s;90,180
mean_speed_ms;1,1215
std_speed_ms;0,3081
max_speed_ms;2,2126
mean_exit_density_pm2;0,1777
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0803
specific_flow_mean_pms;0,2165
specific_flow_peak_pms;0,5549
throughput_ps;3,3399
throughput_Exit_West_ps;1,5297
throughput_Exit_South_ps;1,8103
collisions_agent_agent;46
collisions_agent_wall;36
mean_headway_m;0,5689
min_headway_m;0,3383
std_headway_m;0,1209
