metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_cal_12
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;188,04
rset_95s;165,16
rset_90s;154,1
rset_50s;90,7
mean_speed_ms;1,1122
std_speed_ms;0,2995
max_speed_ms;2,0654
mean_exit_density_pm2;0,1709
peak_exit_density_pm2;0,3979
mean_global_density_pm2;0,0762
specific_flow_mean_pms;0,2052
specific_flow_peak_pms;0,5172
throughput_ps;3,228
throughput_Exit_West_ps;1,4837
throughput_Exit_South_ps;1,7443
collisions_agent_agent;59
collisions_agent_wall;114
mean_headway_m;0,6046
min_headway_m;0,3555
std_headway_m;0,1941
