metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run20
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;49,100
rset_95s;39,360
rset_90s;34,580
rset_50s;17,440
mean_speed_ms;0,3911
std_speed_ms;0,3096
max_speed_ms;1,9984
mean_exit_density_pm2;4,0755
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5429
specific_flow_mean_pms;2,0589
specific_flow_peak_pms;6,6359
throughput_ps;1,8941
throughput_ExitZone_ps;1,8941
collisions_agent_agent;2902
collisions_agent_wall;5920
mean_headway_m;0,4229
min_headway_m;0,3208
std_headway_m;0,0735
