metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run18
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;39,200
rset_95s;36,500
rset_90s;33,960
rset_50s;19,000
mean_speed_ms;0,3036
std_speed_ms;0,2904
max_speed_ms;1,8634
mean_exit_density_pm2;4,4364
peak_exit_density_pm2;8,9127
mean_global_density_pm2;0,5708
specific_flow_mean_pms;1,9188
specific_flow_peak_pms;5,4628
throughput_ps;2,3725
throughput_ExitZone_ps;2,3725
collisions_agent_agent;14576
collisions_agent_wall;1650
mean_headway_m;0,3895
min_headway_m;0,3063
std_headway_m;0,0682
