metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run7
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;40,420
rset_95s;37,280
rset_90s;36,360
rset_50s;18,200
mean_speed_ms;1,3390
std_speed_ms;0,3730
max_speed_ms;2,5688
mean_exit_density_pm2;0,1731
peak_exit_density_pm2;0,5659
mean_global_density_pm2;0,0505
specific_flow_mean_pms;0,2575
specific_flow_peak_pms;0,9253
throughput_ps;1,6823
throughput_Exit_Main_ps;1,6823
collisions_agent_agent;94
collisions_agent_wall;186
mean_headway_m;0,8965
min_headway_m;0,3382
std_headway_m;0,4952
