metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run15
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;181,220
rset_95s;166,660
rset_90s;154,260
rset_50s;90,640
mean_speed_ms;1,1241
std_speed_ms;0,3074
max_speed_ms;2,0035
mean_exit_density_pm2;0,1800
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0805
specific_flow_mean_pms;0,2210
specific_flow_peak_pms;0,5997
throughput_ps;3,3495
throughput_Exit_South_ps;1,8100
throughput_Exit_West_ps;1,5396
collisions_agent_agent;31
collisions_agent_wall;22
mean_headway_m;0,5698
min_headway_m;0,3464
std_headway_m;0,1318
