metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_27
total_agents;93
rset_100s;49,280
rset_95s;42,330
rset_90s;38,660
rset_50s;21,060
mean_speed_ms;0,2272
std_speed_ms;0,2666
max_speed_ms;2,0107
mean_exit_density_pm2;4,7096
peak_exit_density_pm2;8,9127
mean_global_density_pm2;2,3130
specific_flow_mean_pms;1,9978
specific_flow_peak_pms;6,8285
throughput_ps;1,8872
throughput_ExitZone_ps;1,8872
collisions_agent_agent;19556
collisions_agent_wall;21200
mean_headway_m;0,4055
min_headway_m;0,3014
std_headway_m;0,0518
