metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run17
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;179,820
rset_95s;162,320
rset_90s;152,480
rset_50s;89,500
mean_speed_ms;1,1587
std_speed_ms;0,4317
max_speed_ms;2,4106
mean_exit_density_pm2;0,1365
peak_exit_density_pm2;0,3581
mean_global_density_pm2;0,0601
specific_flow_mean_pms;0,1508
specific_flow_peak_pms;0,3744
throughput_ps;3,3756
throughput_Exit_West_ps;1,5516
throughput_Exit_South_ps;1,8240
collisions_agent_agent;2254
collisions_agent_wall;168
mean_headway_m;0,6124
min_headway_m;0,3273
std_headway_m;0,2049
