time;density;speed
0,520;3,8197;0,6516
0,520;4,7746;0,6036
0,520;4,4563;0,3950
0,520;3,5014;0,9278
0,520;3,8197;0,6635
0,520;3,1831;1,1073
0,520;1,5915;1,0903
0,520;2,2282;0,8488
0,520;4,4563;0,5601
1,040;3,8197;0,7077
1,040;4,1380;0,7458
1,040;5,0930;0,6165
1,040;3,1831;0,8684
1,040;4,1380;0,5260
1,040;2,8648;0,7042
1,040;3,1831;0,5826
1,040;3,8197;0,8826
1,040;3,5014;0,5868
1,040;4,1380;0,7310
1,040;4,7746;0,4882
1,560;4,4563;0,1976
1,560;4,7746;0,2124
1,560;3,5014;0,2193
1,560;5,0930;0,1664
1,560;3,5014;0,1269
1,560;3,5014;0,2241
1,560;4,4563;0,2526
1,560;5,0930;0,1541
1,560;3,5014;0,2203
1,560;3,8197;0,1716
1,560;4,7746;0,2455
1,560;4,7746;0,1461
1,560;4,4563;0,1976
1,560;5,7296;0,2190
2,080;4,4563;0,4656
2,080;4,7746;0,4085
2,080;4,1380;0,5528
2,080;5,0930;0,4508
2,080;3,5014;0,3431
2,080;3,8197;0,5089
2,080;4,7746;0,4931
2,080;5,4113;0,3934
2,080;5,0930;0,5718
2,080;4,4563;0,3136
2,080;5,4113;0,5606
2,080;5,7296;0,4662
2,080;5,0930;0,4901
2,080;5,0930;0,5447
2,080;4,7746;0,4920
2,600;5,0930;0,1774
2,600;5,4113;0,1739
2,600;4,4563;0,2692
2,600;3,1831;0,3438
2,600;3,8197;0,2859
2,600;5,4113;0,1453
2,600;6,0479;0,2768
2,600;4,7746;0,1723
2,600;4,4563;0,2955
2,600;5,0930;0,2654
2,600;6,0479;0,2275
2,600;5,0930;0,3137
2,600;4,4563;0,2624
2,600;4,1380;0,1960
3,120;6,3662;0,2315
3,120;5,4113;0,2317
3,120;4,4563;0,2403
3,120;4,4563;0,2397
3,120;5,4113;0,2396
3,120;6,3662;0,2942
3,120;5,4113;0,1815
3,120;5,0930;0,2655
3,120;5,4113;0,2747
3,120;5,7296;0,2801
3,120;5,0930;0,2567
3,120;6,0479;0,3004
3,120;5,7296;0,2975
3,120;5,4113;0,1798
3,120;5,4113;0,1321
3,640;6,3662;0,1726
3,640;5,0930;0,2779
3,640;4,4563;0,2024
3,640;4,1380;0,3245
3,640;5,4113;0,1800
3,640;6,3662;0,2650
3,640;6,3662;0,2502
3,640;4,7746;0,2976
3,640;5,7296;0,2681
3,640;6,3662;0,2664
3,640;6,3662;0,2527
3,640;6,6845;0,2160
3,640;6,3662;0,0881
3,640;5,4113;0,1951
3,640;5,4113;0,1960
4,160;6,0479;0,2485
