metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run10
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;179,780
rset_95s;163,220
rset_90s;151,920
rset_50s;89,640
mean_speed_ms;1,1056
std_speed_ms;0,4207
max_speed_ms;2,5212
mean_exit_density_pm2;0,1367
peak_exit_density_pm2;0,3581
mean_global_density_pm2;0,0622
specific_flow_mean_pms;0,1463
specific_flow_peak_pms;0,4582
throughput_ps;3,3764
throughput_Exit_West_ps;1,5519
throughput_Exit_South_ps;1,8245
collisions_agent_agent;1899
collisions_agent_wall;33
mean_headway_m;0,6056
min_headway_m;0,3202
std_headway_m;0,2010
