metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run3
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;180,780
rset_95s;164,900
rset_90s;153,080
rset_50s;89,460
mean_speed_ms;1,1593
std_speed_ms;0,3009
max_speed_ms;2,3928
mean_exit_density_pm2;0,1735
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0775
specific_flow_mean_pms;0,2168
specific_flow_peak_pms;0,5684
throughput_ps;3,3577
throughput_Exit_South_ps;1,8144
throughput_Exit_West_ps;1,5433
collisions_agent_agent;21
collisions_agent_wall;34
mean_headway_m;0,5809
min_headway_m;0,3402
std_headway_m;0,1340
