metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run9
total_agents;68
evacuated_agents;58
evacuation_rate;0,8529
rset_100s;52,280
rset_95s;40,440
rset_90s;36,360
rset_50s;22,900
mean_speed_ms;0,4662
std_speed_ms;0,5985
max_speed_ms;2,0647
mean_exit_density_pm2;0,1996
peak_exit_density_pm2;0,9903
mean_global_density_pm2;0,0256
specific_flow_mean_pms;0,0536
specific_flow_peak_pms;0,6325
throughput_ps;1,3007
throughput_Exit_Main_ps;1,1094
collisions_agent_agent;0
collisions_agent_wall;49
mean_headway_m;3,3056
min_headway_m;0,4026
std_headway_m;2,7606
