metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run4
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;187,940
rset_95s;164,080
rset_90s;152,580
rset_50s;88,660
mean_speed_ms;1,1356
std_speed_ms;0,4122
max_speed_ms;2,3633
mean_exit_density_pm2;0,1314
peak_exit_density_pm2;0,3581
mean_global_density_pm2;0,0598
specific_flow_mean_pms;0,1393
specific_flow_peak_pms;0,4128
throughput_ps;3,2298
throughput_Exit_South_ps;1,7399
throughput_Exit_West_ps;1,4898
collisions_agent_agent;1694
collisions_agent_wall;64
mean_headway_m;0,6147
min_headway_m;0,3242
std_headway_m;0,2557
