metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run8
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;55,320
rset_95s;40,460
rset_90s;35,760
rset_50s;17,080
mean_speed_ms;0,3924
std_speed_ms;0,3098
max_speed_ms;2,1848
mean_exit_density_pm2;3,8146
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,4892
specific_flow_mean_pms;1,8891
specific_flow_peak_pms;8,2736
throughput_ps;1,6811
throughput_ExitZone_ps;1,6811
collisions_agent_agent;2171
collisions_agent_wall;5693
mean_headway_m;0,4226
min_headway_m;0,3214
std_headway_m;0,0678
