  -2.5411762e+00   9.4128114e-01   1.0000000e+00
  -2.5407574e+00   9.4053463e-01   2.0000000e+00
  -2.5406821e+00   9.4051648e-01   3.0000000e+00
  -2.5401749e+00   9.3953240e-01   4.0000000e+00
  -2.5399359e+00   9.3941077e-01   5.0000000e+00
  -2.5398109e+00   9.3940639e-01   6.0000000e+00
  -2.5396773e+00   9.3939321e-01   7.0000000e+00
  -2.5389933e+00   9.3882260e-01   8.0000000e+00
  -2.5385779e+00   9.3864107e-01   9.0000000e+00
  -2.5379229e+00   9.3852058e-01   1.0000000e+01
  -2.5379492e+00   9.3836707e-01   1.1000000e+01
  -2.5376593e+00   9.3861070e-01   1.2000000e+01
  -2.5373109e+00   9.3857418e-01   1.3000000e+01
  -2.5370152e+00   9.3867353e-01   1.4000000e+01
  -2.5369577e+00   9.3849308e-01   1.5000000e+01
  -2.5368324e+00   9.3849977e-01   1.6000000e+01
  -2.5363080e+00   9.3839782e-01   1.7000000e+01
  -2.5363080e+00   9.3839782e-01   1.8000000e+01
  -2.5358769e+00   9.3798568e-01   1.9000000e+01
  -2.5357241e+00   9.3791882e-01   2.0000000e+01
  -2.5357573e+00   9.3785982e-01   2.1000000e+01
  -2.5355997e+00   9.3744670e-01   2.2000000e+01
  -2.5353595e+00   9.3709254e-01   2.3000000e+01
  -2.5352840e+00   9.3708546e-01   2.4000000e+01
  -2.5347193e+00   9.3608448e-01   2.5000000e+01
  -2.5345078e+00   9.3589528e-01   2.6000000e+01
  -2.5344273e+00   9.3570248e-01   2.7000000e+01
  -2.5340544e+00   9.3529372e-01   2.8000000e+01
  -2.5337541e+00   9.3504133e-01   2.9000000e+01
  -2.5336986e+00   9.3475864e-01   3.0000000e+01
  -2.5332165e+00   9.3458167e-01   3.1000000e+01
  -2.5331519e+00   9.3432061e-01   3.2000000e+01
  -2.5331605e+00   9.3418272e-01   3.3000000e+01
  -2.5335297e+00   9.3418442e-01   3.4000000e+01
  -2.5329871e+00   9.3398187e-01   3.5000000e+01
  -2.5329346e+00   9.3384050e-01   3.6000000e+01
  -2.5327235e+00   9.3363474e-01   3.7000000e+01
  -2.5327303e+00   9.3373199e-01   3.8000000e+01
  -2.5328041e+00   9.3367808e-01   3.9000000e+01
  -2.5327649e+00   9.3345721e-01   4.0000000e+01
  -2.5327582e+00   9.3321053e-01   4.1000000e+01
  -2.5329215e+00   9.3303996e-01   4.2000000e+01
  -2.5332102e+00   9.3285440e-01   4.3000000e+01
  -2.5335146e+00   9.3275276e-01   4.4000000e+01
  -2.5336509e+00   9.3277437e-01   4.5000000e+01
  -2.5341905e+00   9.3254777e-01   4.6000000e+01
  -2.5343017e+00   9.3236869e-01   4.7000000e+01
  -2.5343985e+00   9.3232716e-01   4.8000000e+01
  -2.5346750e+00   9.3231802e-01   4.9000000e+01
  -2.5348222e+00   9.3164561e-01   5.0000000e+01
  -2.5347424e+00   9.3112632e-01   5.1000000e+01
  -2.5348070e+00   9.3109403e-01   5.2000000e+01
  -2.5355307e+00   9.3169984e-01   5.3000000e+01
  -2.5354800e+00   9.3161670e-01   5.4000000e+01
  -2.5359331e+00   9.3193865e-01   5.5000000e+01
  -2.5361587e+00   9.3185742e-01   5.6000000e+01
  -2.5359565e+00   9.3178777e-01   5.7000000e+01
  -2.5363237e+00   9.3204395e-01   5.8000000e+01
  -2.5367430e+00   9.3216472e-01   5.9000000e+01
  -2.5371531e+00   9.3216874e-01   6.0000000e+01
  -2.5371755e+00   9.3220876e-01   6.1000000e+01
  -2.5379373e+00   9.3281128e-01   6.2000000e+01
  -2.5379781e+00   9.3280530e-01   6.3000000e+01
  -2.5384038e+00   9.3304824e-01   6.4000000e+01
