metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run14
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;55,640
rset_95s;42,020
rset_90s;35,380
rset_50s;16,740
mean_speed_ms;0,3777
std_speed_ms;0,2920
max_speed_ms;2,0088
mean_exit_density_pm2;3,9840
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5094
specific_flow_mean_pms;1,9058
specific_flow_peak_pms;6,8863
throughput_ps;1,6715
throughput_ExitZone_ps;1,6715
collisions_agent_agent;2279
collisions_agent_wall;5557
mean_headway_m;0,4315
min_headway_m;0,3112
std_headway_m;0,0860
