metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run_3
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;35,900
rset_95s;33,400
rset_90s;31,680
rset_50s;18,240
mean_speed_ms;0,3160
std_speed_ms;0,2736
max_speed_ms;1,9187
mean_exit_density_pm2;4,4603
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,6055
specific_flow_mean_pms;2,1198
specific_flow_peak_pms;4,3858
throughput_ps;2,5905
throughput_ExitZone_ps;2,5905
collisions_agent_agent;13757
collisions_agent_wall;913
mean_headway_m;0,3930
min_headway_m;0,3240
std_headway_m;0,0560
